UIC,API,inj_date,vol_bbls,cmpl_top,cmpl_bot,UIC_type,wtd_ft,slon,slat
000116096,47538334,2023-12-11,26817,6540,8200,1,8304,-103.27487752,31.44260098
000119372,47538536,2023-12-11,18979,7420,8305,1,8420,-103.292128,31.431788
000115022,47530673,2023-12-11,18731.1484375,6500,8280,2,17860,-103.29132834,31.4245144
000112641,47537525,2023-12-11,11829.712890625,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2023-12-11,24934.068359375,6510,8200,1,8400,-103.307794,31.435014
000107804,47536733,2023-12-11,18795.251953125,6168,7070,1,7200,-103.3829554,31.49836815
000109778,47536617,2023-12-12,7522.05859375,6947,7132,2,7261,-103.2793,31.4390476
000116096,47538334,2023-12-12,22610,6540,8200,1,8304,-103.27487752,31.44260098
000119372,47538536,2023-12-12,18857,7420,8305,1,8420,-103.292128,31.431788
000115022,47530673,2023-12-12,18907.8828125,6500,8280,2,17860,-103.29132834,31.4245144
000112641,47537525,2023-12-12,12008.2294921875,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2023-12-12,25156.98828125,6510,8200,1,8400,-103.307794,31.435014
000107804,47536733,2023-12-12,18458.3671875,6168,7070,1,7200,-103.3829554,31.49836815
000109778,47536617,2023-12-13,7677.265625,6947,7132,2,7261,-103.2793,31.4390476
000116096,47538334,2023-12-13,23057,6540,8200,1,8304,-103.27487752,31.44260098
000119372,47538536,2023-12-13,19267,7420,8305,1,8420,-103.292128,31.431788
000115022,47530673,2023-12-13,18255.12109375,6500,8280,2,17860,-103.29132834,31.4245144
000112641,47537525,2023-12-13,12225.9912109375,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2023-12-13,24455.4140625,6510,8200,1,8400,-103.307794,31.435014
000107804,47536733,2023-12-13,18631.857421875,6168,7070,1,7200,-103.3829554,31.49836815
000109778,47536617,2023-12-14,8548.45703125,6947,7132,2,7261,-103.2793,31.4390476
000116096,47538334,2023-12-14,25332,6540,8200,1,8304,-103.27487752,31.44260098
000119372,47538536,2023-12-14,19633,7420,8305,1,8420,-103.292128,31.431788
000115022,47530673,2023-12-14,18346.4296875,6500,8280,2,17860,-103.29132834,31.4245144
000112641,47537525,2023-12-14,12463.6201171875,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2023-12-14,25032.74609375,6510,8200,1,8400,-103.307794,31.435014
