eventid,eventdate,year,month,day,lat_reloc,lon_reloc,depth_reloc,magnitude,cat_lat,cat_lon,cat_depth
texnet2017loqx,2017-06-14,2017,6,14,31.36361,-103.50085,3.922,1.84,31.35965,-103.5031,2.867
texnet2017lptt,2017-06-15,2017,6,15,31.09531,-103.47009,3.656,2.47,31.07562,-103.48401,6.054
texnet2017ltoi,2017-06-17,2017,6,17,31.58501,-103.78871,8.251,1.64,31.57262,-103.83744,5.746
texnet2017lxjl,2017-06-19,2017,6,19,31.28595,-103.49741,4.104,1.22,31.23647,-103.47853,3.689
texnet2017mayl,2017-06-21,2017,6,21,31.50551,-103.69831,6.419,2.26,31.50206,-103.70827,5.849
texnet2017mcot,2017-06-22,2017,6,22,31.2482,-103.5608,5.308,1.5,31.23797,-103.56229,9.756
texnet2017mfrv,2017-06-23,2017,6,23,31.57783,-103.74706,7.354,2.12,31.57727,-103.80949,2.25
texnet2017mked,2017-06-26,2017,6,26,31.32862,-103.41151,1.007,1.24,31.30078,-103.43987,3.381
texnet2017mnjr,2017-06-28,2017,6,28,31.36297,-103.50076,3.628,2.12,31.35965,-103.49022,3.175
texnet2017mpir,2017-06-29,2017,6,29,31.08933,-103.48234,5.96,2,31.06918,-103.48081,5.643
texnet2017mrak,2017-06-30,2017,6,30,31.09838,-103.49235,4.647,1.42,31.07977,-103.51985,6.003
texnet2017mvkh,2017-07-02,2017,7,2,31.13465,-103.28273,1.526,1.84,31.18365,-103.21939,4.923
texnet2017mxky,2017-07-03,2017,7,3,31.11776,-103.29277,0.374,3.3,31.13727,-103.234,1.787
texnet2017naov,2017-07-05,2017,7,5,31.3921,-103.50163,3.551,1.23,31.40101,-103.48804,3.689
texnet2017nbsr,2017-07-05,2017,7,5,31.1934,-103.24134,5.581,1.81,31.1292,-103.32716,9.705
texnet2017ndby,2017-07-06,2017,7,6,31.44424,-103.51066,6.269,1.32,31.40011,-103.54494,3.484
texnet2017nfmd,2017-07-07,2017,7,7,31.39144,-103.5124,2.564,1.51,31.38172,-103.50631,3.072
texnet2017ngqg,2017-07-08,2017,7,8,31.39186,-103.51484,2.536,1.6,31.41757,-103.51165,4.409
texnet2017nhus,2017-07-09,2017,7,9,31.16457,-103.29168,-0.187,1.57,31.17831,-103.29009,9.345
texnet2017njnl,2017-07-10,2017,7,10,31.4325,-103.48823,8.872,1.95,31.4203,-103.46978,4.718
texnet2017nmvk,2017-07-12,2017,7,12,31.57894,-103.7635,4.68,1.73,31.61266,-103.81012,4.975
texnet2017nnfu,2017-07-12,2017,7,12,31.41543,-103.50678,1.07,1.56,31.44055,-103.50949,3.459
texnet2017nngu,2017-07-12,2017,7,12,31.44773,-103.47009,9.548,1.65,31.38815,-103.49879,2.764
texnet2017nnju,2017-07-12,2017,7,12,31.44775,-103.46813,9.654,1.56,31.38262,-103.47411,1.324
texnet2017nnua,2017-07-12,2017,7,12,31.05488,-103.40331,5.452,1.28,30.96761,-103.4857,7.237
texnet2017nnwu,2017-07-12,2017,7,12,31.0458,-103.40681,7.976,1.67,31.00941,-103.44772,6.054
texnet2017nnxg,2017-07-12,2017,7,12,31.13379,-103.47314,2.212,1.77,31.10412,-103.49041,6.054
texnet2017nnxy,2017-07-12,2017,7,12,31.13487,-103.31576,6.776,1.61,31.15213,-103.30248,4.255
texnet2017npwb,2017-07-13,2017,7,13,31.42063,-103.58352,5.369,1.23,31.42309,-103.57285,5.849
texnet2017nsjk,2017-07-15,2017,7,15,31.20859,-103.4979,7.003,1.5,31.15974,-103.53374,3.432
texnet2017ntfb,2017-07-15,2017,7,15,31.42378,-103.52957,6.631,1.49,31.43135,-103.49446,4.306
texnet2017ntox,2017-07-15,2017,7,15,31.38874,-103.50106,2.947,1.77,31.38723,-103.49235,3.895
texnet2017nuiy,2017-07-16,2017,7,16,31.40382,-103.49047,3.435,1.49,31.40147,-103.48107,1.273
texnet2017nwmh,2017-07-17,2017,7,17,31.39203,-103.5309,6.06,1.65,31.37804,-103.50953,2.455
texnet2017nzuo,2017-07-19,2017,7,19,31.07924,-103.46016,6.129,1.82,31.05539,-103.48189,5.232
texnet2017obpf,2017-07-20,2017,7,20,31.40867,-103.51557,8.167,2.04,31.3624,-103.48056,2.969
texnet2017obtk,2017-07-20,2017,7,20,31.561,-103.85389,13.078,1.16,31.5711,-103.89497,5.9
texnet2017obvu,2017-07-20,2017,7,20,31.41176,-103.5163,8.364,1.59,31.37344,-103.49772,1.53
texnet2017obxk,2017-07-20,2017,7,20,31.3729,-103.48613,2.188,2.29,31.38263,-103.49343,4.203
texnet2017ocjx,2017-07-20,2017,7,20,31.43342,-103.59281,5.67,1.4,31.46262,-103.55245,6.054
texnet2017odzn,2017-07-21,2017,7,21,31.31984,-103.06714,4.589,1.83,31.27276,-103.06201,5.489
texnet2017ofcg,2017-07-22,2017,7,22,31.37074,-103.48046,3.282,1.65,31.36332,-103.47627,1.221
texnet2017ofdo,2017-07-22,2017,7,22,31.0274,-103.49924,7.608,1.21,31.0214,-103.53003,9.756
texnet2017ogxp,2017-07-23,2017,7,23,31.39176,-103.53001,6.131,2.02,31.36333,-103.50524,0.81
texnet2017oiob,2017-07-23,2017,7,23,31.43599,-103.59501,7.221,1.2,31.38861,-103.60559,5.18
texnet2017okyf,2017-07-25,2017,7,25,31.45178,-103.53189,-1.467,2.02,31.44607,-103.5503,5.746
texnet2017olwo,2017-07-25,2017,7,25,31.42311,-103.45115,2.044,1.34,31.37146,-103.43079,2.005
texnet2017olzr,2017-07-25,2017,7,25,31.42095,-103.53772,5.89,1.68,31.38816,-103.55031,2.455
texnet2017onrv,2017-07-26,2017,7,26,31.17059,-103.35973,-0.799,1.89,31.16827,-103.3276,7.494
texnet2017opeo,2017-07-27,2017,7,27,31.07701,-103.3555,6.197,2.01,31.05295,-103.3498,3.844
texnet2017osax,2017-07-29,2017,7,29,31.23675,-103.55766,12.375,1.53,31.24385,-103.55354,9.345
texnet2017osmy,2017-07-29,2017,7,29,31.54197,-103.66338,2.931,1.42,31.55359,-103.64706,3.175
texnet2017ovii,2017-07-30,2017,7,30,31.4035,-103.55706,2.496,1.58,31.36518,-103.54065,3.895
texnet2017ozze,2017-08-02,2017,8,2,31.37336,-103.48432,5.325,1.25,31.38078,-103.46874,4.409
texnet2017pasd,2017-08-02,2017,8,2,31.11817,-103.28992,1.149,2.27,31.08088,-103.29572,6.054
texnet2017pbwk,2017-08-03,2017,8,3,31.09592,-103.29474,14.813,1.29,31.1204,-103.29346,10.888
texnet2017pcyz,2017-08-04,2017,8,4,31.04271,-103.3804,3.541,1.18,30.97719,-103.40608,8.111
texnet2017pecz,2017-08-04,2017,8,4,31.13323,-103.23183,3.622,2.84,31.15891,-103.24731,6.26
texnet2017pfar,2017-08-05,2017,8,5,31.41693,-103.52145,6.35,1.53,31.37897,-103.54387,2.25
texnet2017pfgy,2017-08-05,2017,8,5,31.40063,-103.55329,2.33,1.82,31.37805,-103.55138,2.867
texnet2017pgtr,2017-08-06,2017,8,6,31.4143,-103.51785,5.676,1.51,31.40745,-103.49663,2.867
texnet2017plzo,2017-08-09,2017,8,9,31.41917,-103.52362,6.538,1.72,31.39734,-103.50952,3.278
texnet2017pmng,2017-08-09,2017,8,9,31.29321,-103.60876,5.458,1.29,31.27831,-103.60768,4.975
texnet2017pokt,2017-08-10,2017,8,10,31.05397,-103.4598,0.256,1.13,31.05577,-103.39151,1.89
texnet2017ppqg,2017-08-11,2017,8,11,31.10475,-103.30349,-0.975,1.88,31.09658,-103.33098,6.157
texnet2017puec,2017-08-13,2017,8,13,31.21169,-103.48958,-1,1.59,31.17123,-103.52998,1.941
texnet2017pvek,2017-08-14,2017,8,14,31.67317,-104.49935,5.538,1.61,31.64703,-104.52875,5.453
texnet2017pvnl,2017-08-14,2017,8,14,31.67307,-104.49935,5.527,1.76,31.64703,-104.52875,6.97
texnet2017pwsq,2017-08-14,2017,8,14,31.58433,-103.78607,8.33,1.45,31.60614,-103.84991,2.815
