eventid,eventdate,year,month,day,lat_reloc,lon_reloc,depth_reloc,magnitude,cat_lat,cat_lon,cat_depth
texnet2017ejdk,2017-03-03,2017,3,3,31.45375,-103.58062,4.527,1.17,31.45112,-103.58413,3.124
texnet2017ejyh,2017-03-04,2017,3,4,31.23817,-103.50409,12.252,1.65,31.23462,-103.4571,3.175
texnet2017ekxg,2017-03-04,2017,3,4,31.4011,-103.49098,-1.03,1.37,31.41205,-103.49877,1.838
texnet2017elme,2017-03-05,2017,3,5,31.40302,-103.49184,-0.961,1.67,31.40558,-103.44725,3.381
texnet2017emqo,2017-03-05,2017,3,5,31.1365,-103.49307,3.845,1.63,31.12067,-103.50966,5.54
texnet2017enwh,2017-03-06,2017,3,6,31.139,-103.49461,3.502,2,31.11699,-103.51074,5.026
texnet2017enyb,2017-03-06,2017,3,6,31.13779,-103.49495,3.076,1.97,31.12251,-103.50538,4.512
texnet2017enza,2017-03-06,2017,3,6,31.18707,-103.36144,7.582,1.7,31.1881,-103.36985,1.89
texnet2017epjr,2017-03-07,2017,3,7,31.12245,-103.30556,8.402,1.74,31.13593,-103.2506,3.381
texnet2017eqtt,2017-03-08,2017,3,8,31.11244,-103.47673,-2.758,1.25,31.11423,-103.49575,4.203
texnet2017etuh,2017-03-09,2017,3,9,31.12543,-103.4256,9.517,1.39,31.11467,-103.46846,2.712
texnet2017eukt,2017-03-10,2017,3,10,31.12908,-103.46916,1.692,1.35,31.10503,-103.47864,3.792
texnet2017eumb,2017-03-10,2017,3,10,31.20848,-103.49829,7.055,1.12,31.17123,-103.55461,9.654
texnet2017eutf,2017-03-10,2017,3,10,31.22046,-103.56417,3.489,1.24,31.21811,-103.5589,3.175
texnet2017euuz,2017-03-10,2017,3,10,31.11792,-103.28755,2.55,2.47,31.11673,-103.29347,3.689
texnet2017evep,2017-03-10,2017,3,10,31.0638,-103.39149,9.196,1.19,31.0278,-103.45946,6.054
texnet2017fciy,2017-03-14,2017,3,14,31.45243,-103.49087,9.705,1.2,31.38999,-103.50737,4.075
texnet2017fcup,2017-03-14,2017,3,14,31.13344,-103.48645,-2.177,1.28,31.09677,-103.5054,5.849
texnet2017fdkf,2017-03-15,2017,3,15,31.13152,-103.47139,2.201,1.09,31.06321,-103.49205,5.797
texnet2017fhgt,2017-03-17,2017,3,17,31.13983,-103.49529,3.468,2.05,31.12159,-103.5118,5.437
texnet2017fhjr,2017-03-17,2017,3,17,31.13997,-103.49549,3.405,1.49,31.12067,-103.51395,3.278
texnet2017fhsl,2017-03-17,2017,3,17,31.39883,-103.47626,4.048,1.6,31.43685,-103.47513,1.221
texnet2017fhui,2017-03-17,2017,3,17,31.40571,-103.49715,0.24,1.31,31.4286,-103.51916,1.119
texnet2017fhzu,2017-03-17,2017,3,17,31.15343,-103.40414,4.166,1.73,31.13891,-103.36085,3.998
texnet2017fjch,2017-03-18,2017,3,18,31.40325,-103.47854,4.361,2.83,31.41387,-103.46764,2.558
texnet2017fjcn,2017-03-18,2017,3,18,31.40322,-103.47848,4.565,1.55,31.40285,-103.49126,2.558
texnet2017fjtj,2017-03-18,2017,3,18,31.05891,-103.41516,3.908,1.26,31.05021,-103.36158,5.797
texnet2017fldz,2017-03-19,2017,3,19,31.08002,-103.242,0.174,1.26,31.06667,-103.31447,1.89
texnet2017fmdu,2017-03-19,2017,3,19,31.42772,-103.52962,1.326,1.28,31.43963,-103.5299,4.512
texnet2017fmld,2017-03-19,2017,3,19,31.14082,-103.49863,2.576,1.55,31.12434,-103.50538,5.643
texnet2017fmlj,2017-03-19,2017,3,19,31.14401,-103.49476,1.9,2.66,31.12986,-103.50645,4.615
texnet2017fmqx,2017-03-20,2017,3,20,31.42755,-103.53368,1.482,1.1,31.45991,-103.53401,1.941
texnet2017fndq,2017-03-20,2017,3,20,31.41169,-103.52334,7.793,1.96,31.39091,-103.50415,3.484
texnet2017fnmr,2017-03-20,2017,3,20,31.14652,-103.44488,-2.935,1.3,31.13575,-103.4436,4.512
texnet2017fnov,2017-03-20,2017,3,20,31.32064,-103.50394,7.168,1.99,31.32059,-103.50688,1.89
texnet2017fnpz,2017-03-20,2017,3,20,31.13783,-103.49303,3.726,1.35,31.11883,-103.51288,1.941
texnet2017fnsy,2017-03-20,2017,3,20,31.15206,-103.43518,-0.391,1.4,31.12155,-103.44759,2.25
texnet2017fofq,2017-03-20,2017,3,20,31.44905,-103.57327,4.877,1.22,31.46813,-103.57179,4.203
texnet2017fqno,2017-03-22,2017,3,22,31.15781,-103.49674,9.07,2.34,31.1294,-103.50912,4.563
texnet2017fqnv,2017-03-22,2017,3,22,31.15401,-103.53982,5.656,1.29,31.16985,-103.52624,9.705
texnet2017fsnd,2017-03-23,2017,3,23,31.54182,-103.66343,2.882,1.69,31.49062,-103.65399,10.013
texnet2017fstw,2017-03-23,2017,3,23,31.54125,-103.66065,2.738,2.06,31.53934,-103.64866,4.769
texnet2017ftux,2017-03-23,2017,3,23,31.41716,-103.52636,6.391,1.86,31.43503,-103.49983,4.101
texnet2017fupi,2017-03-24,2017,3,24,31.3751,-103.501,2.776,1.79,31.40331,-103.4918,3.741
texnet2017fxay,2017-03-25,2017,3,25,31.14752,-103.44577,-3.108,1.31,31.13672,-103.45774,3.535
texnet2017fxvj,2017-03-26,2017,3,26,31.39769,-103.48532,-0.885,1.5,31.41801,-103.47891,1.684
texnet2017fycc,2017-03-26,2017,3,26,31.39728,-103.48464,-0.933,1.25,31.44421,-103.47727,2.455
texnet2017fzcq,2017-03-26,2017,3,26,31.03288,-103.62706,1.607,1.47,31.05079,-103.65088,6.054
texnet2017gasr,2017-03-27,2017,3,27,31.3621,-103.56593,2.934,1.35,31.36793,-103.51275,4.203
texnet2017gbvo,2017-03-28,2017,3,28,31.44752,-103.60247,5.494,1.68,31.42355,-103.5691,4.152
texnet2017gbvt,2017-03-28,2017,3,28,31.19691,-103.82309,9.087,1.5,31.18969,-103.87754,5.592
texnet2017gdqt,2017-03-29,2017,3,29,31.20431,-103.76876,10.272,1.39,31.16998,-103.85338,6.877
texnet2017gfmd,2017-03-30,2017,3,30,31.18348,-103.49096,0.028,1.29,31.08251,-103.48668,4.255
texnet2017ggbv,2017-03-30,2017,3,30,31.04214,-103.37867,12.724,1.62,30.97857,-103.40447,8.882
texnet2017ggdk,2017-03-30,2017,3,30,31.17334,-103.36252,-0.786,2.28,31.14716,-103.34585,3.586
texnet2017ggwc,2017-03-31,2017,3,31,31.1468,-103.6373,6.148,1.43,31.10913,-103.6825,6.003
texnet2017ghlo,2017-03-31,2017,3,31,31.12065,-103.46493,0.872,1.71,31.09215,-103.47223,4.306
texnet2017gill,2017-04-01,2017,4,1,31.45418,-103.58529,4.396,1.86,31.4525,-103.57715,6.569
texnet2017gkbl,2017-04-01,2017,4,1,31.14367,-103.51417,1.43,1.37,31.12802,-103.50752,7.083
texnet2017gmsi,2017-04-03,2017,4,3,31.08756,-103.36087,3.111,1.69,31.12005,-103.34859,9.088
texnet2017gocz,2017-04-04,2017,4,4,31.09727,-103.35013,4.553,1.24,31.01722,-103.44717,8.471
texnet2017goov,2017-04-04,2017,4,4,31.13386,-103.28387,0.992,1.68,31.1556,-103.21253,2.198
texnet2017gqod,2017-04-05,2017,4,5,31.53952,-103.65646,2.76,1.45,31.52693,-103.64811,5.232
texnet2017gqow,2017-04-05,2017,4,5,31.36348,-103.50018,3.974,1.56,31.36425,-103.50202,3.792
texnet2017grog,2017-04-05,2017,4,5,31.43477,-103.596,5.589,1.67,31.42952,-103.60507,7.803
texnet2017grwd,2017-04-06,2017,4,6,31.42456,-103.5213,4.416,1.29,31.41205,-103.5181,4.409
texnet2017gsdb,2017-04-06,2017,4,6,31.41143,-103.49758,0.107,1.05,31.41111,-103.47623,3.689
texnet2017gszc,2017-04-06,2017,4,6,31.29088,-103.60877,5.369,1.34,31.24521,-103.62481,1.89
texnet2017gtur,2017-04-07,2017,4,7,31.19408,-103.31012,6.894,1.94,31.14028,-103.35282,7.237
texnet2017gujh,2017-04-07,2017,4,7,31.59273,-103.79231,2.32,1.56,31.59471,-103.82567,0.81
texnet2017guwb,2017-04-07,2017,4,7,31.59264,-103.79217,2.404,1.39,31.60149,-103.87464,1.89
texnet2017gvqu,2017-04-08,2017,4,8,31.39896,-103.48517,3.61,1.44,31.40285,-103.4977,2.661
texnet2017gvzz,2017-04-08,2017,4,8,31.14717,-103.32112,13.314,1.25,31.12915,-103.29933,6.62
texnet2017gygm,2017-04-09,2017,4,9,31.4229,-103.56695,4.034,1.13,31.4139,-103.56104,2.455
texnet2017gyps,2017-04-09,2017,4,9,31.1528,-103.50892,4.127,1.2,31.15882,-103.54337,9.705
texnet2017gyzk,2017-04-10,2017,4,10,31.13173,-103.28622,-3.015,2.78,31.1475,-103.28215,0.861
texnet2017gyzx,2017-04-10,2017,4,10,31.13749,-103.29864,0.914,1.79,31.1544,-103.28587,9.756
texnet2017gzly,2017-04-10,2017,4,10,31.45076,-103.32775,7.46,1.93,31.44907,-103.32422,5.797
texnet2017gzrs,2017-04-10,2017,4,10,31.12959,-103.27817,1.555,1.98,31.12224,-103.29025,3.689
texnet2017gzxc,2017-04-10,2017,4,10,31.19815,-103.82566,7.949,1.2,31.19842,-103.87918,9.756
texnet2017haqb,2017-04-10,2017,4,10,31.00196,-103.40549,12.289,1.34,30.99147,-103.42797,10.116
texnet2017hbfz,2017-04-11,2017,4,11,31.30094,-103.49319,0.864,1.19,31.26726,-103.47475,3.329
texnet2017heqg,2017-04-13,2017,4,13,31.22778,-103.48247,8.081,1.38,31.21252,-103.41855,4.203
texnet2017heuc,2017-04-13,2017,4,13,31.1017,-103.40682,6.134,1.42,31.037,-103.46159,9.962
texnet2017hevo,2017-04-13,2017,4,13,31.4123,-103.51587,5.8,1.11,31.39275,-103.50308,1.53
texnet2017hfkk,2017-04-13,2017,4,13,31.38855,-103.52088,2.061,1.61,31.38999,-103.51381,3.381
texnet2017hgtt,2017-04-14,2017,4,14,31.17716,-103.43126,-3.617,1.12,31.18039,-103.46144,3.895
texnet2017hhdv,2017-04-14,2017,4,14,31.3987,-103.51265,3.804,1.47,31.36885,-103.50202,1.221
texnet2017hihd,2017-04-15,2017,4,15,31.39154,-103.51624,2.448,1.62,31.39827,-103.52132,2.25
texnet2017hjdp,2017-04-15,2017,4,15,31.18297,-103.5505,8.979,1.05,31.19421,-103.52355,4.718
texnet2017hjog,2017-04-15,2017,4,15,31.17681,-103.39355,8.396,1.05,31.22126,-103.42122,12.173
texnet2017hjti,2017-04-15,2017,4,15,31.40155,-103.48857,-0.654,1.19,31.41481,-103.51917,1.016
texnet2017hkhp,2017-04-16,2017,4,16,31.50703,-103.70316,6.225,1.57,31.53147,-103.71154,3.689
texnet2017hnvh,2017-04-18,2017,4,18,31.38103,-103.51885,-1.205,1.15,31.39551,-103.51703,1.838
texnet2017hnwk,2017-04-18,2017,4,18,31.20496,-103.25353,6.141,1.52,31.12551,-103.32074,3.535
texnet2017hnxz,2017-04-18,2017,4,18,31.0501,-103.34377,5.778,1.33,31.04286,-103.36373,9.294
texnet2017hohx,2017-04-18,2017,4,18,31.40641,-103.51879,2.002,1.46,31.42354,-103.51111,1.89
texnet2017hohz,2017-04-18,2017,4,18,31.41719,-103.52251,6.34,1.88,31.40746,-103.51273,2.25
texnet2017hpkl,2017-04-19,2017,4,19,31.39129,-103.53006,6.077,1.46,31.38356,-103.50952,2.455
texnet2017hqgr,2017-04-19,2017,4,19,31.12733,-103.46682,1.999,2.66,31.09401,-103.4947,8.831
texnet2017hsgb,2017-04-20,2017,4,20,31.18031,-103.39486,7.591,1.73,31.2267,-103.36549,7.854
texnet2017htfs,2017-04-21,2017,4,21,31.05739,-103.37381,4.359,1.2,31.00159,-103.44399,5.9
texnet2017htgx,2017-04-21,2017,4,21,31.20368,-103.25226,6.451,1.7,31.11904,-103.29828,5.489
texnet2017htju,2017-04-21,2017,4,21,31.43714,-103.60289,5.333,1.82,31.43596,-103.58252,3.484
texnet2017hvsc,2017-04-22,2017,4,22,31.13873,-103.27475,3.906,2.11,31.13096,-103.28862,6.826
texnet2017hwnk,2017-04-22,2017,4,22,31.29222,-103.60505,5.706,1.62,31.29164,-103.6168,5.437
texnet2017hxme,2017-04-23,2017,4,23,31.08569,-103.23905,2.791,1.51,31.0598,-103.32786,4.82
texnet2017hxur,2017-04-23,2017,4,23,31.4427,-103.46201,9.99,1.38,31.38354,-103.4784,1.427
texnet2017hxvc,2017-04-23,2017,4,23,31.44184,-103.46219,9.855,1.02,31.39918,-103.50093,2.25
texnet2017hzlm,2017-04-24,2017,4,24,31.1115,-103.47483,-2.719,1.81,31.10412,-103.4979,5.952
texnet2017iawe,2017-04-25,2017,4,25,31.13966,-103.51883,1.911,1.36,31.10918,-103.51342,6.003
texnet2017idmi,2017-04-26,2017,4,26,31.128,-103.4693,2.552,1.53,31.08757,-103.48507,6.054
texnet2017ieke,2017-04-27,2017,4,27,31.14579,-103.41039,-13.502,1.09,31.10964,-103.50111,1.941
texnet2017ifpw,2017-04-27,2017,4,27,31.36233,-103.56725,2.924,1.78,31.38632,-103.5385,0.707
texnet2017imxr,2017-05-01,2017,5,1,31.07667,-103.3533,-2.193,3.16,31.11081,-103.32506,5.18
texnet2017iprg,2017-05-03,2017,5,3,31.4057,-103.49675,0.292,1.13,31.44054,-103.49875,1.633
texnet2017iptl,2017-05-03,2017,5,3,31.12616,-103.46692,1.831,1.48,31.09309,-103.49149,6.054
texnet2017ipzp,2017-05-03,2017,5,3,31.1319,-103.4673,2.702,1.53,31.04483,-103.48778,8.882
texnet2017iqbe,2017-05-03,2017,5,3,31.09935,-103.41189,9.073,1.23,31.05032,-103.46211,7.648
texnet2017iqeo,2017-05-03,2017,5,3,32.08831,-103.02373,2.998,2.68,32.10663,-103.02818,2.079
texnet2017iqgo,2017-05-03,2017,5,3,32.08741,-103.02512,3.092,2.52,32.06909,-103.02067,4.011
texnet2017irhb,2017-05-04,2017,5,4,31.03882,-103.49182,2.917,2.07,31.10044,-103.49362,5.952
texnet2017irri,2017-05-04,2017,5,4,31.17456,-103.29387,7.214,2.43,31.14706,-103.29446,4.306
texnet2017irxv,2017-05-04,2017,5,4,31.19914,-103.25623,7.103,2.12,31.18604,-103.25633,9.705
texnet2017iscf,2017-05-04,2017,5,4,31.35559,-103.58769,15.839,1.37,31.27233,-103.62536,8.625
texnet2017isrk,2017-05-05,2017,5,5,30.99618,-103.44543,7.518,1.14,31.00436,-103.45574,3.946
texnet2017itvm,2017-05-05,2017,5,5,31.47533,-103.60035,8.647,1.07,31.47499,-103.6529,9.911
texnet2017ixgv,2017-05-07,2017,5,7,31.12046,-103.46142,2.893,1.49,31.07424,-103.48134,5.592
texnet2017izck,2017-05-08,2017,5,8,31.44824,-103.5723,4.622,1.5,31.42217,-103.57178,2.455
texnet2017jalu,2017-05-09,2017,5,9,31.08693,-103.23893,2.615,1.4,31.0148,-103.35149,6.98
texnet2017jbuj,2017-05-10,2017,5,10,31.41615,-103.49524,-0.67,1.39,31.42491,-103.4891,1.735
texnet2017jcea,2017-05-10,2017,5,10,31.13426,-103.31668,6.889,1.04,31.17872,-103.2692,2.095
texnet2017jcjc,2017-05-10,2017,5,10,31.35064,-103.53522,-2.567,1.37,31.36597,-103.5008,4.615
texnet2017jdwq,2017-05-11,2017,5,11,31.16457,-103.29296,-1.168,1.6,31.13883,-103.31375,4.306
texnet2017jgxp,2017-05-12,2017,5,12,31.10083,-103.4128,9.012,1.62,31.04113,-103.45356,6.62
texnet2017jgzv,2017-05-12,2017,5,12,31.1842,-103.66212,6.439,1.23,31.21802,-103.71211,9.962
texnet2017jhgx,2017-05-13,2017,5,13,31.18619,-103.66223,6.444,2.05,31.201,-103.72547,9.088
texnet2017jhit,2017-05-13,2017,5,13,31.18614,-103.66203,6.439,2.33,31.16105,-103.70131,2.558
texnet2017jnet,2017-05-16,2017,5,16,31.20546,-103.85569,6.502,1.53,31.21405,-103.87709,6.157
texnet2017joqk,2017-05-17,2017,5,17,31.4541,-103.58516,4.549,1.6,31.44975,-103.58467,5.746
texnet2017jpwn,2017-05-17,2017,5,17,31.37492,-103.4576,3.818,2.31,31.40741,-103.44617,2.352
texnet2017jrcq,2017-05-18,2017,5,18,31.33418,-103.51354,5.23,1.9,31.31692,-103.51331,8.265
texnet2017jrej,2017-05-18,2017,5,18,31.33435,-103.51415,5.148,1.71,31.33575,-103.49453,2.25
texnet2017jsah,2017-05-18,2017,5,18,31.39815,-103.47207,4.469,2.02,31.37159,-103.47841,1.016
texnet2017jtgj,2017-05-19,2017,5,19,31.14957,-103.32028,12.665,1.78,31.11445,-103.30151,6.003
texnet2017junt,2017-05-20,2017,5,20,31.16368,-103.6224,2.436,1.17,31.18176,-103.66653,10.013
