network,station,longitude,latitude,affiliation,archive,location,place,elevation,enddate,startdate,label
4T,FMR1,-98.5675,26.602778,University of Texas,TexNet,,"Starr County, TX",140,1963-11-25,2021-10-06,Decomissioned
4T,FMR2,-98.58452,26.57328,University of Texas,TexNet,,"Starr County, TX",140,1963-11-25,2021-10-06,Decomissioned
4T,FMR3,-98.5413535,26.5808215,,,,"Starr County, TX",131,1963-11-25,2021-10-06,Decomissioned
4T,FMR4,-98.5649445,26.5790753,Unavailable,TXHUB,,"Starr County, TX",137,1963-11-25,2021-10-08,Decomissioned
4T,EL01,-95.136906,29.613102,,,,Ellington AFB,8,1963-11-25,2021-11-05,Decomissioned
4T,EL02,-95.166403,29.590574,,,,Ellington AFB,10,1963-11-25,2021-11-05,Decomissioned
4T,EL03,-95.174532,29.622642,,,,Ellington AFB,13,1963-11-25,2021-11-05,Decomissioned
4T,EL08,-95.124682,29.567319,University of Texas,TexNet,,,10,1963-11-25,2021-11-18,Decomissioned
4T,EL07,-95.082627,29.653474,University of Texas,TexNet,,EL07,9,1963-11-25,2021-12-01,Decomissioned
4T,EL04,-95.309331,29.563707,University of Texas,TexNet,,EL04,2,1963-11-25,2022-03-10,Decomissioned
4T,EL06,-95.173643,29.660086,University of Texas,TexNet,,EL06,11,1963-11-25,2022-03-29,Decomissioned
4T,EL05,-95.286764,29.647182,University of Texas,TexNet,,,12,1963-11-25,2022-04-26,Decomissioned
AG,WLAR,-93.112,33.688,Arkansas Seismic Network,TXHUB,,White Oak Lake,77,,2010-02-22,Other
OK,ELIS,-99.418045,36.065254,,,,,641,,2016-04-06,Other
OK,LOOK,-97.179993,33.992428,,,,,286,,2015-05-01,Other
OK,X37A,-95.3713,34.589199,,,,,207,,2012-02-23,Other
OK,FNO,-97.401154,35.257381,,,,,360,,2011-09-15,Other
OK,W35A,-96.874527,35.15274,,,,,322,,2012-02-14,Other
OK,X34A,-97.832558,34.601021,,,,,364,,2011-10-12,Other
N4,441B,-93.189796,30.7498,,,,,33,,2014-01-14,Other
N4,545B,-90.489403,30.0441,,,,,8,,2014-01-20,Other
N4,735B,-97.808197,28.855301,,,,,109,,2014-02-26,Other
N4,ABTX,-99.643097,32.623798,,,,,502,,2018-08-14,Other
N4,MSTX,-102.7724,33.969601,,,,,1167,,2018-08-14,Other
N4,WHTX,-97.4561,31.991301,,,,,190,,2018-08-14,Other
N4,Z35B,-97.252998,33.330898,,,,,234,,2014-02-09,Other
N4,Z38B,-94.985199,33.259899,,,,,115,,2014-02-11,Other
N4,237B,-95.808403,32.001499,,,,,116,2019-03-05,2014-02-04,Decomissioned
IM,TX01,-103.6677,29.334,,,,,996.7999878,,1995-04-02,Other
IM,TX02,-103.658,29.3299,,,,,965.2999878,,1995-03-28,Other
IM,TX03,-103.6743,29.3314,,,,,996.5,,1972-01-02,Other
IM,TX04,-103.6673,29.3399,,,,,997.2000122,,1995-03-28,Other
IM,TX06,-103.682,29.319,,,,,939.5,,1995-03-28,Other
IM,TX07,-103.689,29.3404,,,,,1069.699951,,1995-03-28,Other
IM,TX08,-103.6769,29.3509,,,,,1044.5,,1995-03-28,Other
IM,TX09,-103.6602,29.3437,,,,,988.2999878,,1995-03-28,Other
IM,TX10,-103.7035,29.3305,,,,,1034.099976,,1995-03-28,Other
IM,TX31,-103.6677,29.3343,,,,,991.4000244,,1998-10-29,Other
IM,TX11,-103.6677,29.3344,,,,,1003.400024,2018-03-27,2000-12-13,Decomissioned
IM,TX32,-103.6677,29.334,,,,,995.5,,2000-12-13,Other
4O,LWM1,-103.63,31.2312,,,,"North of Verhalen, TX",826.8,,2019-07-26,Private shared
4O,LWM2,-103.5847,31.2699,,,,Southwest of Pecos,810.6,,2019-07-26,Private shared
4O,PR01,-103.270332,31.2365,Schlumberger Network,TXHUB,,P06,826,,2020-02-26,Private shared
4O,DB04,-103.1054,31.0664,Unavailable,TXHUB,,"Coyanosa,TX (1)",868,,2021-02-21,Private shared
4O,DB03,-103.078,31.1162,Unavailable,TXHUB,,"Coyanosa, TX (2)",839,,2021-02-21,Private shared
4O,DB02,-103.1096,31.1858,Unavailable,TXHUB,,"Coyanosa,TX (3)",820,,2021-02-21,Private shared
4O,OP01,-101.36427,32.43232,,,,"NE of Big Spring, TX",760,,2021-06-30,Private shared
4O,WB01,-104.060278,31.721667,Unavailable,TXHUB,,"Culberson, TX",927,,2021-07-06,Private shared
4O,MBBB1,-101.891072,32.246247,,,,,855,,2021-09-16,Private shared
4O,MID01,-102.2322,31.949,Unavailable,TXHUB,,"Midland, TX",880,,2021-09-16,Private shared
